Name,Party,Ethnicity,Gender,Type,Parliament,Type,Ministry_1,Ministry_2,Ministry_3,Title_1,Title_2,Title_3
Alex Yam,People's Action Party,Chinese,Male,MP,14,Backbencher,,,,,,
Alvin Tan,People's Action Party,Chinese,Male,MP,14,Backbencher,,,,,,
Amy Khor,People's Action Party,Chinese,Female,MP,14,Cabinet,Transport,Sustainability and the Environment,,Senior Minister of State,Senior Minister of State,
Ang Wei Neng,People's Action Party,Chinese,Male,MP,14,Backbencher,Health,Transport,,GPC Member,GPC Member,
Baey Yam Keng,People's Action Party,Chinese,Male,MP,14,Cabinet,Transport,,,Senior Parliamentary Secretary,,
Carrie Tan,People's Action Party,Chinese,Female,MP,14,Backbencher,,,,,,
Chan Chun Sing,People's Action Party,Chinese,Male,MP,14,Cabinet,Trade and Industry,,,,,
Chee Hong Tat,People's Action Party,Chinese,Male,MP,14,Cabinet,Foreign Affairs,Transport,,Senior Minister of State,Senior Minister of State,
Cheng Li Hui,People's Action Party,Chinese,Female,MP,14,Backbencher,,,,,,
Cheryl Chan,People's Action Party,Chinese,Female,MP,14,Backbencher,,,,,,
Chong Kee Hiong,People's Action Party,Chinese,Male,MP,14,Backbencher,,,,,,
Christopher de Souza,People's Action Party,Eurasian,Male,MP,14,Backbencher,Law,Home Affairs,,GPC Member,,
Louis Chua,Workers' Party,Chinese,Male,MP,14,Backbencher,,,,,,
Darryl David,People's Action Party,Indian,Male,MP,14,Backbencher,,,,,,
Denise Phua,People's Action Party,Chinese,Female,MP,14,Backbencher,Education,Social & Family Development,,GPC Member,GPC Member,
Dennis Tan,Workers' Party,Chinese,Male,MP,14,Backbencher,,,,,,
Derrick Goh,People's Action Party,Chinese,Male,MP,14,Backbencher,,,,,,
Desmond Choo,People's Action Party,Chinese,Male,MP,14,Backbencher,,,,,,
Desmond Lee,People's Action Party,Chinese,Male,MP,14,Cabinet,National Development,,,Minister,,
Desmond Tan,People's Action Party,Chinese,Male,MP,14,Cabinet,Home Affairs,Sustainability and the Environment,,Minister of State,Minister of State,
Don Wee ,People's Action Party,Chinese,Male,MP,14,Backbencher,,,,,,
Edward Chia,People's Action Party,Chinese,Male,MP,14,Backbencher,,,,,,
Edwin Tong,People's Action Party,Chinese,Male,MP,14,Cabinet,"Culture, Community and Youth",Law,,Minister,Second Minister,
Eric Chua,People's Action Party,Chinese,Male,MP,14,Cabinet,"Culture, Community and Youth",Social & Family Development,,Parliamentary Secretaries,Parliamentary Secretaries,
Foo Mee Har,People's Action Party,Chinese,Female,MP,14,Backbencher,Education,Finance,Trade and Industry,GPC Member,GPC Deputy Chairperson,GPC Deputy Chairperson
Gan Kim Yong,People's Action Party,Chinese,Male,MP,14,Cabinet,Health,,,Minister,,
Gan Siow Huang,People's Action Party,Chinese,Female,MP,14,Cabinet,Manpower,Education,,Minister of State,Minister of State,
Gan Thiam Poh,People's Action Party,Chinese,Male,MP,14,Backbencher,Transport,Sustainability and the Environment,,GPC Member,GPC Member,
Gerald Giam,Workers' Party,Chinese,Male,MP,14,Backbencher,,,,,,
Grace Fu,People's Action Party,Chinese,Female,MP,14,Cabinet,Sustainability and the Environment,,,,,
Hany Soh,People's Action Party,Chinese,Female,MP,14,Backbencher,,,,,,
Hazel Poa,Progress Singapore Party,Chinese,Female,NCMP,14,Backbencher,,,,,,
He Ting Ru,Workers' Party,Chinese,Female,MP,14,Backbencher,,,,,,
Heng Chee How,People's Action Party,Chinese,Male,MP,14,Cabinet,Defence,,,Senior Minister of State,,
Heng Swee Keat,People's Action Party,Chinese,Male,MP,14,Cabinet,Finance,,,Minister,,
Indranee Rajah,People's Action Party,Indian,Female,MP,14,Cabinet,PMO,National Development,Finance,Minister,Second Minister,Second Minister
Jamus Lim,Workers' Party,Chinese,Male,MP,14,Backbencher,,,,,,
Janil Puthucheary,People's Action Party,Indian,Male,MP,14,Cabinet,Health,Communications & Information,,Senior Minister of State,Senior Minister of State,
