,Division,Type,Name,lat,long,newName,Party,Ethnicity,Gender,Title,Parliament,Type.1,Ministry_1,Ministry_2,Ministry_3,Title_1,Title_2,Title_3
0,MARSILING-YEW TEE,GRC,Alex Yam,103.76572659755615,1.4232251406725156,Alex_Yam,People's Action Party,Chinese,Male,MP,14.0,Backbencher,,,,,,
1,TANJONG PAGAR,GRC,Alvin Tan,103.82305861072145,1.3016850069672519,Alvin_Tan,People's Action Party,Chinese,Male,MP,14.0,Backbencher,,,,,,
2,HONG KAH NORTH,SMC,Amy Khor,103.73197170379285,1.3627565794708019,Amy_Khor,People's Action Party,Chinese,Female,MP,14.0,Cabinet,Transport,Sustainability and the Environment,,Senior Minister of State,Senior Minister of State,
3,WEST COAST,GRC,Ang Wei Neng,103.70596113525787,1.2890019271367006,Ang_Wei_Neng,People's Action Party,Chinese,Male,MP,14.0,Backbencher,Health,Transport,,GPC Member,GPC Member,
4,TAMPINES,GRC,Baey Yam Keng,103.94152145341093,1.3594384514422568,Baey_Yam_Keng,People's Action Party,Chinese,Male,MP,14.0,Cabinet,Transport,,,Senior Parliamentary Secretary,,
5,NEE SOON,GRC,Carrie Tan,103.83152640469943,1.4237399423174648,Carrie_Tan,People's Action Party,Chinese,Female,MP,14.0,Backbencher,,,,,,
6,TANJONG PAGAR,GRC,Chan Chun Sing,103.82305861072145,1.3016850069672519,Chan_Chun_Sing,People's Action Party,Chinese,Male,MP,14.0,Cabinet,Trade and Industry,,,,,
7,BISHAN-TOA PAYOH,,Chee Hong Tat,103.83200104426263,1.3457748681686967,Chee_Hong_Tat,People's Action Party,Chinese,Male,MP,14.0,Cabinet,Foreign Affairs,Transport,,Senior Minister of State,Senior Minister of State,
8,TAMPINES,GRC,Cheng Li Hui,103.94152145341093,1.3594384514422568,Cheng_Li_Hui,People's Action Party,Chinese,Female,MP,14.0,Backbencher,,,,,,
9,EAST COAST,GRC,Cheryl Chan,104.0039252255161,1.3696027642662085,Cheryl_Chan,People's Action Party,Chinese,Female,MP,14.0,Backbencher,,,,,,
