year,level_1,level_2,level_3,level_4,value,total,perc
2015,Chinese,Total,Ang Mo Kio- Total,Ang Mo Kio Town Centre,4260,2899110,0.1469416476090938
2015,Chinese,Total,Ang Mo Kio- Total,Cheng San,24660,2899110,0.8506058755963037
2015,Chinese,Total,Ang Mo Kio- Total,Chong Boon,22910,2899110,0.7902425227052441
2015,Chinese,Total,Ang Mo Kio- Total,Kebun Bahru,19210,2899110,0.6626171480212893
2015,Chinese,Total,Ang Mo Kio- Total,Sembawang Hills,6080,2899110,0.20971953461579587
2015,Chinese,Total,Ang Mo Kio- Total,Shangri-La,13900,2899110,0.47945748867755966
2015,Chinese,Total,Ang Mo Kio- Total,Tagore,7440,2899110,0.2566304831482766
2015,Chinese,Total,Ang Mo Kio- Total,Townsville,19630,2899110,0.6771043527151436
2015,Chinese,Total,Ang Mo Kio- Total,Yio Chu Kang East,3620,2899110,0.12486590712322057
2015,Chinese,Total,Ang Mo Kio- Total,Yio Chu Kang West,21540,2899110,0.7429866407276716
2015,Chinese,Total,Bedok- Total,Bayshore,5240,2899110,0.18074512522808725
2015,Chinese,Total,Bedok- Total,Bedok North,59870,2899110,2.065116535764424
2015,Chinese,Total,Bedok- Total,Bedok Reservoir,18900,2899110,0.6519242112234445
2015,Chinese,Total,Bedok- Total,Bedok South,39110,2899110,1.3490347037539108
2015,Chinese,Total,Bedok- Total,Frankel,27430,2899110,0.9461524398867238
2015,Chinese,Total,Bedok- Total,Kaki Bukit,26180,2899110,0.9030357592502527
2015,Chinese,Total,Bedok- Total,Kembangan,27170,2899110,0.9371841703143379
2015,Chinese,Total,Bedok- Total,Siglap,4980,2899110,0.17177685565570122
2015,Chinese,Total,Bishan- Total,Bishan East,24020,2899110,0.8285301351104304
2015,Chinese,Total,Bishan- Total,Marymount,27090,2899110,0.9344247027536038
2015,Chinese,Total,Bishan- Total,Upper Thomson,26100,2899110,0.9002762916895186
2015,Chinese,Total,Bukit Batok- Total,Bukit Batok Central,19820,2899110,0.6836580881718872
2015,Chinese,Total,Bukit Batok- Total,Bukit Batok East,9330,2899110,0.321822904270621
2015,Chinese,Total,Bukit Batok- Total,Bukit Batok South,10460,2899110,0.360800383565991
2015,Chinese,Total,Bukit Batok- Total,Bukit Batok West,10750,2899110,0.3708034534736523
2015,Chinese,Total,Bukit Batok- Total,Gombak,8350,2899110,0.28801942665162755
2015,Chinese,Total,Bukit Batok- Total,Guilin,9310,2899110,0.3211330373804374
2015,Chinese,Total,Bukit Batok- Total,Hillview,15750,2899110,0.543270176019537
2015,Chinese,Total,Bukit Batok- Total,Hong Kah North,18320,2899110,0.6319180714081218
2015,Chinese,Total,Bukit Merah- Total,Alexandra Hill,11330,2899110,0.3908095932889749
2015,Chinese,Total,Bukit Merah- Total,Alexandra North,750,2899110,0.025870008381882716
