Name,Party,Ethnicity,Gender,Parliament_1,Parliament_2,Parliament_3,Parliament_4,Parliament_5,Parliament_6,Parliament_7,Parliament_8,Parliament_9,Parliament_10,Parliament_11,Parliament_12,Parliament_13,Parliament_14
A. Rahim Ishak,People's Action Party,Malay,Male,MP,MP,MP,MP,MP,,,,,,,,,
A.P. Rajah,Independent Singapore Party Alliance,Malay,Male,MP,,,,,,,,,,,,,
Ang Nam Piau,People's Action Party,Chinese,Male,MP,MP,MP,MP,,,,,,,,,,
"Bani, S.T.",Barisan Sosialis,Indian,Male,MP,,,,,,,,,,,,,
"Barker, E.W.",People's Action Party,Eurasian,Male,MP,MP,MP,MP,MP,MP,,,,,,,,
Bernard Rodrigues,People's Action Party,Eurasian,Male,MP,,,,,,,,,,,,,
Buang Bin Omar Junid,People's Action Party,Malay,Male,MP,MP,,,,,,,,,,,,
Chan Chee Seng,People's Action Party,Chinese,Male,MP,MP,MP,MP,MP,,,,,,,,,
Chan Choy Siong,People's Action Party,Chinese,Female,MP,MP,,,,,,,,,,,,
Chan Sun Wing,Barisan Sosialis,Chinese,Male,MP,,,,,,,,,,,,,
Chew Chin Harn,People's Action Party,Chinese,Male,MP,,,,,,,,,,,,,
Chia Thye Poh,Barisan Sosialis,Chinese,Male,MP,,,,,,,,,,,,,
Chio Cheng Thun,Barisan Sosialis,Chinese,Male,MP,,,,,,,,,,,,,
Chor Yeok Eng,People's Action Party,Chinese,Male,MP,MP,MP,MP,MP,,,,,,,,,
Chow Chiok Hock,People's Action Party,Chinese,Male,MP,,,,,,,,,,,,,
Devan Nair,People's Action Party,Indian,Female,MP,,,,,,,,,,,,,
Fong Kim Heng,People's Action Party,Chinese,Male,MP,,,,,,,,,,,,,
Fong Sip Chee,People's Action Party,Chinese,Male,MP,MP,MP,MP,MP,MP,,,,,,,,
Goh Keng Swee,People's Action Party,Chinese,Male,MP,MP,MP,MP,MP,,,,,,,,,
"Gonzales, R.A.",People's Action Party,Eurasian,Male,MP,,,,,,,,,,,,,
"Govindaswamy, P.",People's Action Party,Indian,Male,MP,MP,MP,MP,,,,,,,,,,
Ho Cheng Choon,People's Action Party,Chinese,Male,MP,MP,MP,MP,,,,,,,,,,
Ho Kah Leong,People's Action Party,Chinese,Male,MP,MP,MP,MP,MP,MP,MP,MP,,,,,,
Ho See Beng,People's Action Party,Chinese,Male,MP,MP,MP,MP,MP,,,,,,,,,
Jek Yeun Thong,People's Action Party,Chinese,Male,MP,MP,MP,MP,MP,MP,,,,,,,,
Koo Yong,Barisan Sosialis,Chinese,Male,MP,,,,,,,,,,,,,
Kow Kee Seng,Barisan Sosialis,Chinese,Male,MP,,,,,,,,,,,,,
Lee Khoon Choy,People's Action Party,Chinese,Male,MP,MP,MP,MP,MP,,,,,,,,,
Lee Kuan Yew,People's Action Party,Chinese,Male,MP,MP,MP,MP,MP,MP,MP,MP,MP,MP,MP,MP,,
Lee Teck Him,People's Action Party,Chinese,Male,MP,MP,,,,,,,,,,,,
Lee Tee Tong,People's Action Party,Chinese,Male,MP,,,,,,,,,,,,,
Lim Cheng Lock,People's Action Party,Chinese,Male,MP,MP,,,,,,,,,,,,
Lim Guan Hoo,People's Action Party,Chinese,Male,MP,MP,MP,MP,,,,,,,,,,
Lim Kim San,People's Action Party,Chinese,Male,MP,MP,MP,MP,,,,,,,,,,
Lim Soo Peng,People's Action Party,Chinese,Male,MP,MP,,,,,,,,,,,,
"Lingam, S.V.",People's Action Party,Chinese,Male,MP,,,,,,,,,,,,,
Loh Miaw Gong,Barisan Sosialis,Chinese,Female,MP,,,,,,,,,,,,,
Mahmud Awang,People's Action Party,Malay,Male,MP,,,,,,,,,,,,,
"Mohd Ariff Bin Suradi, Haji",People's Action Party,Malay,Male,MP,MP,MP,,,,,,,,,,,
Ng Kah Ting,People's Action Party,Chinese,Male,MP,MP,MP,MP,MP,MP,MP,,,,,,,
Ng Yeow Chong,People's Action Party,Chinese,Male,MP,MP,MP,MP,,,,,,,,,,
Ong Lian Teng,Barisan Sosialis,Chinese,Male,MP,,,,,,,,,,,,,
Ong Pang Boon,People's Action Party,Chinese,Male,MP,MP,MP,MP,MP,MP,,,,,,,,
Othman Bin Wok,People's Action Party,Malay,Male,MP,MP,MP,MP,,,,,,,,,,
Poh Ber Liak,Barisan Sosialis,Chinese,Male,MP,,,,,,,,,,,,,
Rahmat Bin Kenap,People's Action Party,Malay,Male,MP,MP,MP,MP,,,,,,,,,,
"Rajaratnam, S",People's Action Party,Indian,Male,MP,MP,MP,MP,MP,MP,,,,,,,,
"Rajoo, S.",Barisan Sosialis,Indian,Male,MP,,,,,,,,,,,,,
"Ramaswamy, S.",People's Action Party,Indian,Male,MP,MP,,,,,,,,,,,,
"Selvadurai, P.",People's Action Party,Indian,Male,MP,MP,MP,MP,MP,,,,,,,,,
Sia Kah Hui,People's Action Party,Chinese,Male,MP,MP,MP,MP,MP,,,,,,,,,
Sim Boon Woo,People's Action Party,Chinese,Male,MP,MP,MP,,,,,,,,,,,
Tan Cheng Tong,Barisan Sosialis,Chinese,Male,MP,,,,,,,,,,,,,
Tang See Chim,People's Action Party,Chinese,Male,MP,MP,MP,MP,MP,MP,,,,,,,,
Tay Boon Too,People's Action Party,Chinese,Male,MP,MP,MP,,,,,,,,,,,
Teo Hup Teck,People's Action Party,Chinese,Male,MP,,,,,,,,,,,,,
Teong Eng Siong,People's Action Party,Chinese,Male,MP,MP,MP,MP,,,,,,,,,,
Toh Chin Chye,People's Action Party,Chinese,Male,MP,MP,MP,MP,MP,MP,,,,,,,,
Wee Toon Boon,People's Action Party,Chinese,Male,MP,MP,MP,,,,,,,,,,,
Wong Soon Fong,Barisan Sosialis,Chinese,Male,MP,,,,,,,,,,,,,
Yaacob Bin Mohamed,People's Action Party,Malay,Male,MP,MP,MP,MP,,,,,,,,,,
Yeoh Ghim Seng,People's Action Party,Chinese,Male,MP,MP,MP,MP,MP,MP,,,,,,,,
Yong Nyuk Lin,People's Action Party,Chinese,Male,MP,MP,MP,MP,,,,,,,,,,
Abdul Aziz Karim,People's Action Party,Malay,Male,,MP,MP,,,,,,,,,,,
"Cheong Yuen Chee, Eric",People's Action Party,Chinese,Male,,MP,MP,MP,MP,MP,,,,,,,,
Chiang Hai Ding,People's Action Party,Chinese,Male,,MP,MP,MP,MP,,,,,,,,,
Ch'ng Jit Koon,People's Action Party,Chinese,Male,,MP,MP,MP,MP,MP,MP,MP,,,,,,
Chua Sian Chin,People's Action Party,Chinese,Male,,MP,MP,MP,MP,MP,MP,,,,,,,
"Conceicao, J.F.",People's Action Party,Eurasian,Male,,MP,MP,MP,MP,,,,,,,,,
"Govindasamy, N.",People's Action Party,Indian,Male,,MP,MP,MP,,,,,,,,,,
Hon Sui Sen,People's Action Party,Chinese,Male,,MP,MP,MP,MP,,,,,,,,,
Hwang Soo Jin,People's Action Party,Chinese,Male,,MP,MP,MP,MP,,,,,,,,,
Lee Chiaw Meng,People's Action Party,Chinese,Male,,MP,MP,MP,MP,,,,,,,,,
Low Guan Onn,People's Action Party,Chinese,Male,,MP,,,,,,,,,,,,
Low Yong Nguan,People's Action Party,Chinese,Male,,MP,,,,,,,,,,,,
Mohd Ghazali Bin Ismail,People's Action Party,Malay,Male,,MP,,,,,,,,,,,,
Ong Soo Chuan,People's Action Party,Chinese,Male,,MP,MP,MP,,,,,,,,,,
Phua Bah Lee,People's Action Party,Chinese,Male,,MP,MP,MP,MP,MP,,,,,,,,
"Rodrigo, L.P.",People's Action Party,Eurasian,Male,,MP,MP,,,,,,,,,,,
Seah Mui Kok,People's Action Party,Chinese,Male,,MP,MP,MP,MP,,,,,,,,,
Sha'ari Bin Tadin,People's Action Party,Malay,Male,,MP,MP,MP,,,,,,,,,,
Sia Khoon Seong,People's Action Party,Chinese,Male,,MP,MP,MP,MP,MP,MP,,,,,,,
Tan H.H. Augustine,People's Action Party,Chinese,Male,,MP,MP,MP,MP,MP,MP,,,,,,,
Wong Lin Ken,People's Action Party,Chinese,Male,,MP,MP,,,,,,,,,,,
Yeo Choo Kok,People's Action Party,Chinese,Male,,MP,MP,MP,MP,MP,,,,,,,,
Yeo Toon Chia,People's Action Party,Chinese,Male,,MP,MP,MP,MP,MP,MP,MP,,,,,,
Ahmad Mattar,People's Action Party,Malay,Male,,,MP,MP,MP,MP,MP,MP,,,,,,
Ang Kok Peng,People's Action Party,Chinese,Male,,,MP,MP,MP,MP,,,,,,,,
