year,constituency,constituency_type,candidates,party,vote_count,vote_percentage
2011,Aljunied,GRC,Chen Show Mao | Sylvia Lim | Low Thia Khiang | Muhamad Faisal Bin Abdul Manap | Pritam Singh,WP,72289,0.5472
2011,Aljunied,GRC,Lim Hwee Hua | Ong Ye Kung | Cynthia Phua | George Yong-Boon Yeo | Zainul Abidin Rasheed,PAP,59829,0.4528
2011,Ang Mo Kio,GRC,Ang Hin Kee| Inderjit Singh| Intan Azura Binte MOokhtar | Lee Hsien Loong | Seng Han Thong | Yeo Guat Kwang,PAP,112677,0.6933
2011,Ang Mo Kio,GRC,Lim Tung Hee Arthero | Lim Zirui | Mohamed Mansor Bin Abdul Rahman | Osman Bin Sulaiman | Tan Zhi Xiang | Vigneswari D/O V Ramachandran,RP,49851,0.3067
2011,Bishan - Toa Payoh,GRC,Chiam See Tong | Lee Yeong Wee | Wilfred Leung | Mohamad Hamim Aliyas | Benjamin Pwee,SPP,47205,0.4307
2011,Bishan-Toa Payoh,GRC,Hri Kumar Nair | Ng Eng Hen | Josephine Teo | Wong Kan Seng | Zainudin Nordin,PAP,62385,0.5693
2011,Bukit Panjang,SMC,Teo Ho Pin,PAP,20375,0.6627
2011,Bukit Panjang,SMC,Alec Tok,SDP,10372,0.3373
2011,Chua Chu Kang,GRC,Gan Kim Yong | Low Yen Ling | Alex Yam ZiMing | Yeo Khirn Hai Alvin | Zaqy Bin Mohamad,PAP,89710,0.612
2011,Chua Chu Kang,GRC,"Jeisialn Sivalingam | Nor Lella Mardiiiah Bte Mohamed | Hazel Poa Koon Koon | Tony Tan Lay Thiam | Teo Kway Huang, Sebastian",NSP,56885,0.388
2011,East Coast,GRC,Gerald Giam Yean Song | Glenda Han Su May | Mohamed Fazli Bin Talip | Png Eng Huat | Eric Tan Heng Chong,WP,49429,0.4517
2011,East Coast,GRC,Lee Yi Shyan | Lim Siang Keat Raymond | Lim Swee Say | Mohd Maliki Bin Osman | Tan Soon Neo Jessica,PAP,59992,0.5483
2011,Holland - Bukit Timah,GRC,Ang Yong Guan | Michelle Lee Juen | Tan Jee Say | Wijeysingha Vincent Rene,SDP,32406,0.3992
2011,Holland - Bukit Timah,GRC,De Souza Christopher Jamed | Liang Eng Hwa | Sim Ann | Vivian Balakrishnan,PAP,48773,0.6008
2011,Hong Kah North,SMC,Amy Khor Lean Suan,PAP,18156,0.7061
2011,Hong Kah North,SMC,Sin Kek Tong,SPP,7556,0.2939
2011,Hougang,SMC,Desmond Choo Pey Ching,PAP,8065,0.352
2011,Hougang,SMC,Yaw Shin Leong,WP,14850,0.648
2011,Joo Chiat,SMC,Charles Chong You Fook,PAP,9666,0.5102
2011,Joo Chiat,SMC,Yee Jenn Jong,WP,9278,0.4898
2011,Jurong,GRC,Abdul Rasheed | Christopher Neo Ting Wei | Noraini Yunus | Ong Beng Ssson Elvin | Ong Hock Siong,NSP,37786,0.3304
2011,Jurong,GRC,Ang Wei Neng | Halimah Binte Yacob | Desmond Lee Ti-Seng (Li ZhiSheng) | Ong Kim Huat | Tharman Shanmugaratnam,PAP,76595,0.6696
2011,Marine Parade,GRC,Abdul Salim Bin Harun | Cheo Chai Chen | Ng Chung Hon | Nicole Rebecca Seah Xue Ling | Yeo Tiong Boon,NSP,59926,0.4336
2011,Marine Parade,GRC,Fatimah Binte Abdul Lateef | Goh Chok Tong | Seah Kian Peng | Tan Chuan-Jin | Tin Pei Ling,PAP,78286,0.5664
2011,Moulmein - Kallang,GRC,Chan Sio Phing Frieda | L Somasundaram | Mohd Rahizan Bin Ya'acob | Toh Hong Boon,WP,31773,0.4145
2011,Moulmein - Kallang,GRC,Lui Tuck Yew | Phua Lay Peng Denise | Edwin Tong Chun Fai | Yaacob Bin Ibrahim,PAP,44886,0.5855
2011,Mountbatten,SMC,Jeannette Chong-Aruldoss,NSP,8461,0.4138
2011,Mountbatten,SMC,Lim Biow Chuan,PAP,11985,0.5862
2011,Nee Soon,GRC,"Chong Cham Weng | Oon Kheng Faye, Angela | Poh Lee Guan | Sajeev S/O Kunju Raman Kamalasanan | Yam Poh Nam",WP,57523,0.416
2011,Nee Soon,GRC,K Shanmugam | Lee Bee Wah | Lim Wee Kiak | Muhammad Faishal Ibrahim | Tay Teck Guan Patrick,PAP,80740,0.584
2011,Pasir Ris - Punggol,GRC,Gan Thiam Poh | Janil Arusha Puthucheary | Low Penny | Teo Chee Hean | Teo Ser Luck | Zainal Bin Sapari,PAP,100493,0.6479
2011,Pasir Ris - Punggol,GRC,Harminder Pal Singh | Lee Song Juan | Jeffrey Lim| Mohd Shafni | Sidney Ssoon | Tan Keng Hong,SDA,54601,0.3521
2011,Pioneer,SMC,Chia Steve,NSP,9437,0.3927
2011,Pioneer,SMC,Cedric Foo Chee Keng,PAP,14593,0.6073
2011,Potong Pasir,SMC,Loh Woon Lee Lina,SPP,7878,0.4964
2011,Potong Pasir,SMC,Sitoh Yih Pin,PAP,7992,0.5036
2011,Punggol East,SMC,Lee Li Lian,WP,12777,0.4101
2011,Punggol East,SMC,Lim Bak Chuan Desmond,SDA,1387,0.0445
2011,Punggol East,SMC,Michael Palmer,PAP,16994,0.5454
2011,Radin Mas,SMC,Tan Chin Siong,PAP,18609,0.671
2011,Radin Mas,SMC,Yip Yew Weng,NSP,9123,0.329
2011,Sembawang,GRC,Hawazi Daipi | Khaw Boon Wan| Ellen Lee Geck Hoon | Ong Teng Koon| Vikram Nair,PAP,84252,0.639
2011,Sembawang,GRC,James Gomez | Luo Jie Jarrod | Mohd Isa | Sadasivam V | John Tan Liang Joo,SDP,47605,0.361
2011,Sengkang West,SMC,Koh Choong Yong,WP,10591,0.4189
2011,Sengkang West,SMC,Lam Pin Min,PAP,14689,0.5811
2011,Tampines,GRC,Baey Yam Keng | Heng Swee Keat | Mah Bow Tan | Masagos Zulkifli Bmm | Irene Ng Phek Hoong,PAP,72728,0.5722
2011,Tampines,GRC,Fong Chin Leong | Goh Keow Wah| Goh Meng Seng | Raymond Lim Peng Ann | Syafarin Bin Sarif,NSP,54381,0.4278
2011,Tanjong Pagar,GRC,Chan Chun Sing | Chia Shi-Lu | Indranee Thurai Rajah | Lee Kuan Yew | Lily Tirtasana Neo,PAP,na,na
2011,West Coast,GRC,Arthur Fong | Foo Mee Har | Lim Hng Kiang | S Iswaran | Lawrence Wong,PAP,72563,0.6657
2011,West Coast,GRC,Ho Soak Harn | Kenneth Andrew Jeyaretnam | Kumar S/O Appavoo | Low Chiak Huan | Zhu Lai Cheng,RP,36443,0.3343
2011,Whampoa,SMC,Heng Chee How,PAP,13028,0.661
2011,Whampoa,SMC,Ken Sun,NSP,6683,0.339
2011,Yuhua,SMC,Grace Fu Hai Yien,PAP,14093,0.6686
2011,Yuhua,SMC,Teo Soh Lung,SDP,6986,0.3314
2015,Aljunied,GRC,Chen Show Mao | Sylvia Lim | Low Thia Khiang | Md Faisal Bin Abdul Manap | Pritam Singh,WP,70050,0.5096
2015,Aljunied,GRC,Chau Eng Leong | K Muralidharan Pillai | Lye Thiam Fatt Joseph Victor | Shamsul Kamar Bin Mohamed Razali | Yeo Guat Kwang,PAP,67424,0.4904
2015,Ang Mo Kio,GRC,Ang Hin Kee | David Darryl Wilson | Gan Thiam Poh | Intan Azura Binte Mokhtar | Koh Poh Koon| Lee Hsien Loong,PAP,135316,0.7864
