Name,Party,Ethnicity,Gender,Type,Parliament
A. Rahim Ishak,People's Action Party,Malay,Male,MP,1
A.P. Rajah,Independent,Malay,Male,MP,1
Ang Nam Piau,People's Action Party,Chinese,Male,MP,1
"Bani, S.T.",Barisan Sosialis,Indian,Male,MP,1
"Barker, E.W.",People's Action Party,Eurasian,Male,MP,1
Bernard Rodrigues,People's Action Party,Eurasian,Male,MP,1
Buang Bin Omar Junid,People's Action Party,Malay,Male,MP,1
Chan Chee Seng,People's Action Party,Chinese,Male,MP,1
Chan Choy Siong,People's Action Party,Chinese,Female,MP,1
Chan Sun Wing,Barisan Sosialis,Chinese,Male,MP,1
Chew Chin Harn,People's Action Party,Chinese,Male,MP,1
Chia Thye Poh,Barisan Sosialis,Chinese,Male,MP,1
Chio Cheng Thun,Barisan Sosialis,Chinese,Male,MP,1
Chor Yeok Eng,People's Action Party,Chinese,Male,MP,1
Chow Chiok Hock,People's Action Party,Chinese,Male,MP,1
Devan Nair,People's Action Party,Indian,Female,MP,1
Fong Kim Heng,People's Action Party,Chinese,Male,MP,1
Fong Sip Chee,People's Action Party,Chinese,Male,MP,1
Goh Keng Swee,People's Action Party,Chinese,Male,MP,1
"Gonzales, R.A.",People's Action Party,Eurasian,Male,MP,1
"Govindaswamy, P.",People's Action Party,Indian,Male,MP,1
Ho Cheng Choon,People's Action Party,Chinese,Male,MP,1
Ho Kah Leong,People's Action Party,Chinese,Male,MP,1
Ho See Beng,People's Action Party,Chinese,Male,MP,1
Jek Yeun Thong,People's Action Party,Chinese,Male,MP,1
Koo Yong,Barisan Sosialis,Chinese,Male,MP,1
Kow Kee Seng,Barisan Sosialis,Chinese,Male,MP,1
Lee Khoon Choy,People's Action Party,Chinese,Male,MP,1
Lee Kuan Yew,People's Action Party,Chinese,Male,MP,1
Lee Teck Him,People's Action Party,Chinese,Male,MP,1
Lee Tee Tong,People's Action Party,Chinese,Male,MP,1
Lim Cheng Lock,People's Action Party,Chinese,Male,MP,1
Lim Guan Hoo,People's Action Party,Chinese,Male,MP,1
Lim Kim San,People's Action Party,Chinese,Male,MP,1
Lim Soo Peng,People's Action Party,Chinese,Male,MP,1
"Lingam, S.V.",People's Action Party,Chinese,Male,MP,1
Loh Miaw Gong,Barisan Sosialis,Chinese,Female,MP,1
Mahmud Awang,People's Action Party,Malay,Male,MP,1
"Mohd Ariff Bin Suradi, Haji",People's Action Party,Malay,Male,MP,1
Ng Kah Ting,People's Action Party,Chinese,Male,MP,1
Ng Yeow Chong,People's Action Party,Chinese,Male,MP,1
Ong Lian Teng,Barisan Sosialis,Chinese,Male,MP,1
Ong Pang Boon,People's Action Party,Chinese,Male,MP,1
Othman Bin Wok,People's Action Party,Malay,Male,MP,1
Poh Ber Liak,Barisan Sosialis,Chinese,Male,MP,1
Rahmat Bin Kenap,People's Action Party,Malay,Male,MP,1
"Rajaratnam, S",People's Action Party,Indian,Male,MP,1
"Rajoo, S.",Barisan Sosialis,Indian,Male,MP,1
"Ramaswamy, S.",People's Action Party,Indian,Male,MP,1
"Selvadurai, P.",People's Action Party,Indian,Male,MP,1
Sia Kah Hui,People's Action Party,Chinese,Male,MP,1
Sim Boon Woo,People's Action Party,Chinese,Male,MP,1
Tan Cheng Tong,Barisan Sosialis,Chinese,Male,MP,1
Tang See Chim,People's Action Party,Chinese,Male,MP,1
Tay Boon Too,People's Action Party,Chinese,Male,MP,1
Teo Hup Teck,People's Action Party,Chinese,Male,MP,1
Teong Eng Siong,People's Action Party,Chinese,Male,MP,1
Toh Chin Chye,People's Action Party,Chinese,Male,MP,1
Wee Toon Boon,People's Action Party,Chinese,Male,MP,1
Wong Soon Fong,Barisan Sosialis,Chinese,Male,MP,1
Yaacob Bin Mohamed,People's Action Party,Malay,Male,MP,1
Yeoh Ghim Seng,People's Action Party,Chinese,Male,MP,1
Yong Nyuk Lin,People's Action Party,Chinese,Male,MP,1
A. Rahim Ishak,People's Action Party,Malay,Male,MP,2
Ang Nam Piau,People's Action Party,Chinese,Male,MP,2
"Barker, E.W.",People's Action Party,Eurasian,Male,MP,2
Buang Bin Omar Junid,People's Action Party,Malay,Male,MP,2
Chan Chee Seng,People's Action Party,Chinese,Male,MP,2
Chan Choy Siong,People's Action Party,Chinese,Female,MP,2
Chor Yeok Eng,People's Action Party,Chinese,Male,MP,2
Fong Sip Chee,People's Action Party,Chinese,Male,MP,2
