Ward,Name
MOUNTBATTEN SMC,Lim Biow Chuan
Marine Parade_3,Tan See Leng
Geylang Serai_2,Mohd Fahmi Aliman
Braddell Heights_1,Seah Kian Peng
MACPHERSON SMC,Tin Pei Ling
POTONG PASIR SMC,Sitoh Yih Pin
Bedok_1,Heng Swee Keat
Kampong Chai Chee_3,Tan Kiat How
Changi Simei_4,Jessica Tan
Siglap_5,Maliki Osman
Fengshan_2,Cheryl Chan
Pasir Ris East,Mohamed Sharael Taha
Pasir Ris West,Teo Chee Hean
Pasir Ris Central,Desmond Tan
Punggol Coast,Janil Puthucheary
Punggol North,Yeo Wan Ling
PUNGGOL WEST SMC,Sun Xueling
Anchorvale_SK1,Jamus Lim
Compassvale_SK3,Raeesah Khan
Buangkok,He Ting Ru
Rivervale_SK2,Louis Chua
HOUGANG SMC,Dennis Tan
Whampoa_3,Heng Chee How
Kolam Ayer_4,Wan Rizal
Kampong Glam,Denise Phua
Kreta Ayer-Kim Seng,Josephine Teo
Moulmein-Cairnhill_1,Alvin Tan
Buona Vista_2,Chan Chun Sing
Henderson Dawson_3,Joan Pereira
Tanjong Pagar-Tiong Bahru_5,Indranee Rajah
Queenstown_4,Eric Chua
RADIN MAS SMC,Melvin Yong
MARYMOUNT SMC,Gan Siow Huang
Toa Payoh East_3,Saktiandi Supaat
Toa Payoh West-Thomson_2,Chee Hong Tat
Toa Payoh Central,Ng Eng Hen
KEBUN BARU SMC,Henry Kwek
YIO CHU KANG SMC,Yip Hon Weng
Teck Ghee,Lee Hsien Loong
Ang Mo Kio-Hougang,Darryl David
Cheng San-Seletar,Nadia Ahmad Samdin
Nee Soon South_3,Carrie Tan
Chong Pang_5,K. Shanmugam
Nee Soon Link_1,Derrick Goh
Nee Soon East_4,Louis Ng
Nee Soon Central_2,Muhammad Faishal Ibrahim
Sembawang Central_3,Ong Ye Kung
Woodlands_2,Mariam Jaafar
Canberra_4,Lim Wee Kiak
Admiralty_1,Vikram Nair
Sembawang West_5,Poh Li San
Woodgrove,Hany Soh
Marsiling,Zaqy Mohamad
Yew Tee,Alex Yam
Limbang,Lawrence Wong
Keat Hong_4,Zhulkarnain Abdul Rahim
Chua Chu Kang_2,Gan Kim Yong
Bukit Gombak,Low Yen Ling
HONG KAH NORTH SMC,Amy Khor
BUKIT BATOK SMC,Murali Pillai
Bukit Batok East,Rahayu Mahzam
Jurong Central,Xie Yao Quan
Jurong Spring,Shawn Huang
Taman Jurong,Tharman Shanmugaratnam
Clementi,Tan Wu Meng
YUHUA SMC,Grace Fu
Boon Lay_4,Desmond Lee
Ayer Rajah-Gek Poh_2,Foo Mee Har
West Coast_3,S. Iswaran
Telok Blangah_1,Rachel Ong
Nanyang_5,Ang Wei Neng
PIONEER SMC,Patrick Tay
Ulu Pandan,Christopher de Souza
Bukit Timah,Sim Ann
Zhenghua,Edward Chia
Cashew,Vivian Balakrishnan
BUKIT PANJANG SMC,Liang Eng Hwa
Tampines Changkat,Desmond Choo
Tampines Central,Koh Poh Koon
Tampines West,Masagos Zulkifli
Tampines East,Cheng Li Hui
Tampines North,Baey Yam Keng
Paya Lebar,Sylvia Lim
Serangoon,Leon Perera
Kaki Bukit,Muhamad Faisal Manap
Eunos,Pritam Singh
Bedok Reservoir-Punggol,Gerald Giam
Brickland_3,Don Wee
Fernvale_1,Gan Thiam Poh
Jalan Kayu,Ng Ling Ling
Bishan East-Sin Ming_1,Chong Kee Hiong
Joo Chiat_5,Edwin Tong
Kembangan-Chai Chee_4,Tan Chuan-Jin
