,Division,Type,Name,lat,long,Ward,lat_ward,lon_ward,newName,Party,Age,Years_In_Politics,Ethnicity,Gender,Grassroots_Experience,First_Occupation,Previous_Occupation,Previous/Current_Role,Previous_Employer,Title,Parliament,Type.1,Ministry_1,Ministry_2,Ministry_3,Title_1,Title_2,Title_3,Defence,Foreign Affairs,Health,Transport,Sustainability and the Environment,Social & Family Development,Communications & Information,"Culture, Community and Youth",Education,Trade and Industry,Manpower,Finance,PMO,Law,National Development,Home Affairs,Age_group,X,Y,color,color1,color2,color4,color3,X1,Y1,code
0,MARSILING-YEW TEE,GRC,Alex Yam,103.76572659755615,1.4232251406725156,Yew Tee,103.74924375449537,1.4211062715345142,Alex_Yam,People's Action Party,39,9,Chinese,Male,Yes,Public Service (Labour),Public Service (Labour),Senior Management,NTUC,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35 - 40,0.15571159,0.26046386,"rgb(199,21,133)","rgb(199,21,133)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,0,255)",-0.12006445,1.0944909,0000000000000000
1,TANJONG PAGAR,GRC,Alvin Tan,103.82305861072145,1.3016850069672519,Moulmein-Cairnhill,103.830855575791,1.3133602773616382,Alvin_Tan,People's Action Party,40,0,Chinese,Male,Yes,Other(HR/Management),Other(HR/Management),Senior Management,LinkedIn,MP,14,Cabinet,"Culture, Community and Youth",Trade and Industry,,Minister of State,Minister of State,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,35 - 40,-1.5493678,-1.7156774,"rgb(128,0,128)","rgb(199,21,133)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,0,255)",1.6018746,2.3696022,0000000101000000
2,HONG KAH NORTH,SMC,Amy Khor,103.73197170379285,1.3627565794708019,HONG KAH NORTH SMC,103.73193079044282,1.3627991722833381,Amy_Khor,People's Action Party,62,19,Chinese,Female,Yes,Education,Infrastructure (Transport/Telecomms/Real Estate),Senior Management,Knight Frank,MP,14,Cabinet,Sustainability and the Environment,Transport,,Senior Minister of State,Senior Minister of State,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,60 - 65,2.6674538,-0.14853834,"rgb(255,69,0)","rgb(199,21,133)","rgb(139,0,0)","rgb(199,21,133)","rgb(0,0,255)",1.6797589,0.029347394,0001100000000000
3,WEST COAST,GRC,Ang Wei Neng,103.70596113525787,1.2890019271367006,Nanyang,103.6831544731339,1.3442502867461172,Ang_Wei_Neng,People's Action Party,53,9,Chinese,Male,No,Military or Police Force,Infrastructure (Transport/Telecomms/Real Estate),CEO,SBS Transit,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50 - 55,-0.28218725,0.4280074,"rgb(255,69,0)","rgb(139,0,0)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,0,255)",-0.4551391,1.5448849,0000000000000000
4,TAMPINES,GRC,Baey Yam Keng,103.94152145341093,1.3594384514422568,Tampines North,103.93970514462644,1.367111839502506,Baey_Yam_Keng,People's Action Party,49,14,Chinese,Male,No,Public Service (Multiple Statutory Boards),Public Service (Multiple Statutory Boards),Senior Management,,MP,14,Cabinet,Transport,,,Senior Parliamentary Secretary,Parliamentary Secretaries,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45 - 50,-1.7839776,1.4401435,"rgb(255,215,0)","rgb(139,0,0)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,0,255)",-1.4359422,2.4179347,0001000000000000
5,NEE SOON,GRC,Carrie Tan,103.83152640469943,1.4237399423174648,Nee Soon South,103.82321197181322,1.4086183289462793,Carrie_Tan,People's Action Party,38,0,Chinese,Female,No,Other(HR/Management),Social Enterprise/Charity,CEO,Daughters of Tomorrow,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35 - 40,0.74872464,-2.1843777,"rgb(0,100,0)","rgb(139,0,0)","rgb(139,0,0)","rgb(199,21,133)","rgb(0,0,255)",2.7527845,1.0274365,0000000000000000
6,TANJONG PAGAR,GRC,Chan Chun Sing,103.82305861072145,1.3016850069672519,Buona Vista,103.79657328655817,1.3139958985327664,Chan_Chun_Sing,People's Action Party,50,9,Chinese,Male,No,Military or Police Force,Military or Police Force,Brigadier-General.,SAF,MP,14,Cabinet,Trade and Industry,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,45 - 50,-0.87240225,0.37773833,"rgb(50,205,50)","rgb(139,0,0)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,0,255)",-0.43680188,2.1726515,0000000001000000
7,BISHAN-TOA PAYOH,,Chee Hong Tat,103.83200104426263,1.3457748681686967,Toa Payoh West-Thomson,103.82412936435364,1.3463289672326522,Chee_Hong_Tat,People's Action Party,46,5,Chinese,Male,No,Public Service (Multiple Statutory Boards),Public Service (Multiple Statutory Boards),Senior Management,,MP,14,Cabinet,Foreign Affairs,Transport,,Senior Minister of State,Senior Minister of State,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45 - 50,-1.5693407,1.4556303,"rgb(255,215,0)","rgb(139,0,0)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,0,255)",-1.5006222,2.226343,0101000000000000
8,TAMPINES,GRC,Cheng Li Hui,103.94152145341093,1.3594384514422568,Tampines East,103.9453184008917,1.3564836583034712,Cheng_Li_Hui,People's Action Party,44,5,Chinese,Female,Yes,IT/Engineering,IT/Engineering,CEO,Hai Leck Holdings,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 - 45,0.040248048,-2.5847445,"rgb(139,0,0)","rgb(199,21,133)","rgb(139,0,0)","rgb(199,21,133)","rgb(0,0,255)",2.8180497,-0.16927522,0000000000000000
9,EAST COAST,GRC,Cheryl Chan,104.0039261184903,1.3696034901246614,Fengshan,103.94250158683627,1.3312037376693022,Cheryl_Chan,People's Action Party,43,5,Chinese,Female,Yes,IT/Engineering,IT/Engineering,Senior Management,Linde plc (Gas & Engineering).,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 - 45,0.040248115,-2.5847445,"rgb(139,0,0)","rgb(199,21,133)","rgb(139,0,0)","rgb(199,21,133)","rgb(0,0,255)",2.8180497,-0.16927522,0000000000000000
10,BISHAN-TOA PAYOH,GRC,Chong Kee Hiong,103.83200104426263,1.3457748681686967,Bishan East-Sin Ming,103.84600309423759,1.3520744376432272,Chong_Kee_Hiong,People's Action Party,54,5,Chinese,Male,Yes,Infrastructure (Transport/Telecomms/Real Estate),Infrastructure (Transport/Telecomms/Real Estate),CEO,Suntec Real Estate Investment Trust,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50 - 55,-0.12708008,0.2553535,"rgb(255,69,0)","rgb(199,21,133)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,0,255)",-1.0813463,1.1843966,0000000000000000
11,HOLLAND-BUKIT TIMAH,GRC,Christopher de Souza,103.78784256612474,1.3658475267644983,Ulu Pandan,103.78771975845918,1.3223018858125244,Christopher_de_Souza,People's Action Party,44,14,Eurasian,Male,No,Law,Law,Partner,Lee & Lee,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 - 45,1.5089751,0.49955702,"rgb(0,128,128)","rgb(139,0,0)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,255,255)",-0.334086,-1.0874829,0000000000000000
12,ANG MO KIO,GRC,Darryl David,103.86714718048466,1.3952294508760836,Ang Mo Kio-Hougang,103.88556604801842,1.3747192877017245,Darryl_David,People's Action Party,49,5,Indian,Male,Yes,Other(HR/Management),Education,Senior Management,Temasek Polytechnic,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45 - 50,-0.8927024,1.4302851,"rgb(255,228,225)","rgb(199,21,133)","rgb(199,21,133)","rgb(199,21,133)","rgb(255,0,0)",-2.448627,1.4311966,0000000000000000
13,JALAN BESAR,GRC,Denise Phua,103.85724253059061,1.3002027735192085,Kampong Glam,103.85486069613209,1.306386798062017,Denise_Phua,People's Action Party,60,14,Chinese,Female,Yes,Entrepreneur,Social Enterprise/Charity,CEO,Autism Resource Centre,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55 - 60,1.6760882,-1.0705543,"rgb(0,100,0)","rgb(199,21,133)","rgb(139,0,0)","rgb(199,21,133)","rgb(0,0,255)",1.6832988,-0.19683605,0000000000000000
14,HOUGANG,SMC,Dennis Tan,103.89490791126292,1.3684003047158164,HOUGANG SMC,103.89482420513835,1.3683548638568561,Dennis_Tan,Workers' Party,49,5,Chinese,Male,No,Law,Law,Partner,DennisMathiew,MP,14,Opposition,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45 - 50,0.27706552,0.6778667,"rgb(0,128,128)","rgb(139,0,0)","rgb(199,21,133)","rgb(139,0,0)","rgb(0,0,255)",-0.7486168,0.089112066,0000000000000000
